SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
5/31/19,51 Days,649 W Poplar Avenue,West Wildwood,Single Family,187154,"$410,000 ","$410,000 "
5/31/19,251 Days,221 E Pine Avenue,Wildwood,Condo,184126,"$234,500 ","$228,000 "
5/31/19,245 Days,509 W 19th Street,North Wildwood,Townhouse,184222,"$849,900 ","$800,000 "
5/31/19,63 Days,400 E 11th Avenue,North Wildwood,Condo,186918,"$439,000 ","$439,000 "
5/31/19,39 Days,3201 Atlantic Avenue,Wildwood,Condo,187393,"$97,500 ","$96,500 "
5/30/19,126 Days,513 E 14th Avenue,North Wildwood,Townhouse,185806,"$699,900 ","$699,900 "
5/30/19,60 Days,400 E 22nd Avenue,North Wildwood,Condo,186965,"$399,900 ","$390,000 "
5/28/19,29 Days,332 E 2nd Avenue,North Wildwood,Single Family,187457,"$319,900 ","$305,000 "
5/28/19,260 Days,317 E 24th Avenue,North Wildwood,Townhouse,183949,"$399,900 ","$395,000 "
5/24/19,77 Days,408 W 16th Avenue,North Wildwood,Single Family,186560,"$459,000 ","$440,000 "
5/24/19,58 Days,710 New York Avenue,North Wildwood,Duplex,186878,"$354,900 ","$350,000 "
5/24/19,299 Days,220 E Juniper Avenue,Wildwood,Condo,183228,"$197,900 ","$190,000 "
5/24/19,134 Days,207 E Taylor Avenue,Wildwood,Condo,185608,"$167,500 ","$165,000 "
5/24/19,99 Days,500 Kennedy Drive,North Wildwood,Condo,186174,"$149,900 ","$149,900 "
5/24/19,88 Days,316 E Juniper Ave,Wildwood,Condo,186352,"$260,000 ","$252,000 "
5/24/19,62 Days,440 E 21st Avenue,North Wildwood,Condo,186824,"$425,000 ","$420,000 "
5/24/19,58 Days,339 E 6th Avenue,North Wildwood,Condo,186873,"$439,900 ","$430,000 "
5/24/19,55 Days,500 Kennedy Drive,North Wildwood,Condo,186938,"$225,000 ","$218,000 "
5/23/19,250 Days,5301 PARK,Wildwood,Other,184119,"$169,000 ","$105,000 "
5/23/19,133 Days,215 W Wildwood Avenue,Wildwood,Four-Plex,185655,"$269,000 ","$245,000 "
5/23/19,467 Days,1000 Kennedy Drive,North Wildwood,Condo,180325,"$209,000 ","$200,000 "
5/23/19,300 Days,642 W Pine,North Wildwood,Condo,183158,"$239,000 ","$220,000 "
5/23/19,258 Days,408 E 16th Avenue,North Wildwood,Condo,183884,"$324,900 ","$320,000 "
5/23/19,209 Days,312 E Hand Avenue,Wildwood,Condo,184729,"$139,900 ","$135,000 "
5/23/19,63 Days,234 E 17th Avenue,North Wildwood,Condo,186786,"$374,900 ","$367,500 "
5/23/19,48 Days,"553 W Glenwood, Unit B Avenue",West Wildwood,Townhouse,187077,"$329,900 ","$320,000 "
5/22/19,433 Days,1800 Ocean,North Wildwood,Condo,180883,"$174,900 ","$177,000 "
5/22/19,61 Days,317 E Wildwood Avenue,Wildwood,Condo,186801,"$309,900 ","$307,000 "
5/22/19,22 Days,417 E 25th Avenue,North Wildwood,Condo,187462,"$159,900 ","$158,900 "
5/21/19,129 Days,216 E 3rd Avenue,North Wildwood,Single Family,185620,"$1,275,000 ","$1,075,000 "
5/21/19,135 Days,213-215 E 25th Avenue,North Wildwood,Condo,185656,"$164,900 ","$150,000 "
5/21/19,69 Days,1800 Ocean Avenue,North Wildwood,Condo,186685,"$129,900 ","$122,000 "
5/20/19,545 Days,461 E 24th Avenue,North Wildwood,Townhouse,179314,"$629,999 ","$629,999 "
5/20/19,69 Days,233 E Roberts Ave,Wildwood,Condo,186722,"$265,000 ","$255,000 "
5/17/19,84 Days,630 W Maple Avenue,West Wildwood,Single Family,186334,"$249,900 ","$256,000 "
5/17/19,22 Days,415 E 5th Avenue,North Wildwood,Single Family,187435,"$449,900 ","$460,000 "
5/17/19,22 Days,419 E 5th Avenue,North Wildwood,Single Family,187436,"$459,900 ","$441,000 "
5/17/19,650 Days,222 W 3rd,North Wildwood,Condo,177570,"$529,990 ","$470,000 "
5/17/19,477 Days,2312 New York Avenue,North Wildwood,Townhouse,180044,"$489,900 ","$485,000 "
5/17/19,145 Days,525 W Montgomery Avenue,Wildwood,Townhouse,184014,"$309,900 ","$309,900 "
5/17/19,152 Days,316 E Bennett #6,Wildwood,Condo,185324,"$369,000 ","$350,000 "
5/17/19,132 Days,351 E Wildwood Avenue,Wildwood,Condo,185516,"$305,000 ","$287,500 "
5/17/19,69 Days,201 E Marina Court,North Wildwood,Condo,186596,"$259,300 ","$253,000 "
5/16/19,75 Days,323 E Maple Avenue,Wildwood,Condo,186460,"$130,000 ","$120,000 "
5/15/19,346 Days,101 W Spruce Avenue,North Wildwood,Condo,182294,"$649,000 ","$565,000 "
5/13/19,209 Days,222 W Maple Avenue,Wildwood,Triplex,184527,"$194,900 ","$189,000 "
5/13/19,142 Days,143 E Andrews Avenue,Wildwood,Condo,185456,"$189,900 ","$187,500 "
5/13/19,94 Days,311 E 26th Avenue,North Wildwood,Condo,186064,"$365,000 ","$352,500 "
5/13/19,46 Days,1800 Ocean Avenue,North Wildwood,Condo,186958,"$189,900 ","$190,000 "
5/10/19,209 Days,733 W Pine Avenue,North Wildwood,Single Family,184500,"$389,900 ","$368,000 "
SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
5/10/19,125 Days,128 W Burk Ave,Wildwood,Single Family,185517,"$140,000 ","$120,000 "
5/10/19,94 Days,231 W 2nd Avenue,North Wildwood,Single Family,186045,"$659,000 ","$625,000 "
5/10/19,59 Days,209 W Poplar Avenue,Wildwood,Single Family,186628,"$203,940 ","$192,000 "
5/10/19,39 Days,500 W Andrews Avenue,Wildwood,Single Family,186970,"$249,000 ","$245,000 "
5/10/19,473 Days,4803 Pacific Avenue,Wildwood,Restaurant,179956,"$499,900 ","$400,000 "
5/10/19,109 Days,110 E 11th Avenue,North Wildwood,Duplex,185779,"$385,000 ","$357,500 "
5/10/19,218 Days,427 W Leaming Avenue,Wildwood,Condo,184322,"$269,900 ","$259,000 "
5/10/19,211 Days,215 Surf Avenue,North Wildwood,Condo,184607,"$329,900 ","$300,000 "
5/10/19,170 Days,220 W 25th Avenue,North Wildwood,Condo,185080,"$159,900 ","$151,000 "
5/10/19,103 Days,500 E 13 Avenue,North Wildwood,Condo,185914,"$164,900 ","$155,000 "
5/10/19,66 Days,215 E 17th Avenue,North Wildwood,Condo,186502,"$362,500 ","$359,500 "
5/10/19,59 Days,107 E Taylor Avenue,Wildwood,Townhouse,186703,"$289,000 ","$275,000 "
5/9/19,302 Days,620 W Pine Avenue,North Wildwood,Townhouse,182878,"$199,000 ","$191,000 "
5/8/19,77 Days,415 W Hildreth Avenue,Wildwood,Condo,186497,"$189,000 ","$189,000 "
5/7/19,98 Days,430 W Burk Avenue,Wildwood,Single Family,185874,"$449,900 ","$425,000 "
5/7/19,251 Days,1000 Kennedy Drive,North Wildwood,Condo,183697,"$134,900 ","$130,000 "
5/6/19,77 Days,235 E Magnolia Avenue,Wildwood,Duplex,186235,"$242,000 ","$238,500 "
5/6/19,32 Days,1800 Ocean Avenue,North Wildwood,Condo,187036,"$184,900 ","$175,000 "
5/5/19,65 Days,424 W Andrews Avenue,Wildwood,Single Family,186674,"$180,000 ","$172,500 "
5/3/19,227 Days,126 W Poplar Avenue,Wildwood,Single Family,185696,"$150,000 ","$150,000 "
5/3/19,410 Days,5201 Ocean Avenue,Wildwood,Condo,180944,"$249,000 ","$233,500 "
5/3/19,116 Days,500 Kennedy Drive,North Wildwood,Condo,185605,"$220,000 ","$202,500 "
5/3/19,100 Days,501 Ocean Avenue,North Wildwood,Condo,185775,"$195,000 ","$185,000 "
5/3/19,82 Days,431 E 19th Avenue,North Wildwood,Condo,186101,"$112,000 ","$100,000 "
5/3/19,81 Days,410 W Hand Avenue,Wildwood,Condo,186131,"$249,000 ","$243,000 "
5/3/19,69 Days,5000 Arctic Avenue,Wildwood,Townhouse,186375,"$299,900 ","$295,000 "
5/3/19,50 Days,215 E Rio Grande Avenue,Wildwood,Condo,186668,"$215,000 ","$200,000 "
5/3/19,39 Days,223 E Taylor Avenue,Wildwood,Condo,186859,"$324,900 ","$308,655 "
5/3/19,42 Days,500 Kennedy Drive,North Wildwood,Condo,187545,"$150,000 ","$150,000 "
5/2/19,221 Days,337 E 7th Avenue,North Wildwood,Townhouse,184144,"$589,900 ","$585,000 "
5/1/19,269 Days,441 W Baker Avenue,Wildwood,Single Family,183329,"$150,000 ","$150,000 "
5/1/19,195 Days,305 E Youngs Avenue,Wildwood,Motel,184559,"$1,499,900 ","$1,225,000 "
5/1/19,73 Days,421 W Bennett Ave Avenue,Wildwood,Condo,185432,"$143,000 ","$143,000 "
4/30/19,378 Days,435 E 17th Avenue,North Wildwood,Condo,181435,"$172,000 ","$166,500 "
4/29/19,455 Days,123 W 26th Avenue,North Wildwood,Four-Plex,180093,"$259,000 ","$250,000 "
4/29/19,863 Days,701 Ocean Avenue,North Wildwood,Condo,173745,"$122,000 ","$120,000 "
4/29/19,446 Days,421 E 23rd Avenue,North Wildwood,Condo,180260,"$444,900 ","$444,900 "
4/29/19,446 Days,421 E 23rd Avenue,North Wildwood,Condo,180263,"$444,900 ","$444,900 "
4/29/19,243 Days,213 E Hand Avenue,Wildwood,Townhouse,183793,"$249,000 ","$230,000 "
4/29/19,168 Days,1100 Kennedy Drive,North Wildwood,Condo,184955,"$199,000 ","$186,000 "
4/29/19,147 Days,2601 Atlantic Avenue,Wildwood,Condo,185194,"$145,000 ","$140,000 "
